die_id,lot_id,chamber_temp_c,stress_voltage_v,etch_rate_nm_min,leakage_current_0h_ua,standby_current_0h_ma,v_threshold_0h_v,leakage_current_24h_ua,standby_current_24h_ma,v_threshold_24h_v,leakage_current_96h_ua,leakage_current_168h_ua,standby_current_168h_ma,v_threshold_168h_v,sensor_channel_1,sensor_channel_2,sensor_channel_3,defect_type,is_defect_168h
LOT_001_DIE_00000,LOT_001,124.31,3.583,484.66,10.617,2.615,0.7209,10.857,2.643,0.7187,12.153,13.18,2.693,0.7147,104.37,45.02,1.221,PASS,0
LOT_002_DIE_00001,LOT_002,123.73,3.619,496.26,16.554,2.383,0.7217,16.938,2.39,0.7184,18.005,18.521,2.436,0.7132,101.48,45.63,1.278,PASS,0
LOT_003_DIE_00002,LOT_003,125.27,3.634,494.32,11.711,2.657,0.7562,12.104,2.668,0.754,12.709,13.24,2.733,0.7474,96.14,47.2,1.231,PASS,0
LOT_004_DIE_00003,LOT_004,125.02,3.658,497.7,15.379,2.594,0.7208,15.658,2.619,0.7181,16.775,17.399,2.642,0.7145,93.77,45.43,1.281,PASS,0
LOT_005_DIE_00004,LOT_005,125.28,3.568,526.88,9.197,2.631,0.7319,9.525,2.665,0.728,10.06,10.919,2.686,0.7238,104.94,45.58,1.264,PASS,0
LOT_006_DIE_00005,LOT_006,124.07,3.591,485.12,9.224,2.847,0.7073,9.635,2.851,0.7048,10.791,11.385,2.876,0.7007,96.74,50.36,1.301,PASS,0
LOT_007_DIE_00006,LOT_007,125.02,3.618,506.9,7.716,2.433,0.6603,7.967,2.47,0.6576,8.855,9.122,2.451,0.6504,109.22,43.17,1.148,PASS,0
LOT_008_DIE_00007,LOT_008,125.53,3.631,500.95,13.92,2.014,0.6764,14.447,2.021,0.6718,14.798,15.161,2.066,0.6655,102.31,45.5,1.202,PASS,0
LOT_009_DIE_00008,LOT_009,125.78,3.605,470.18,41.794,4.184,0.6565,53.674,5.357,0.6093,78.471,111.289,6.508,0.5682,112.53,35.53,1.318,LATENT_CONTEXTUAL_OUTLIER,1
LOT_010_DIE_00009,LOT_010,126.14,3.658,486.7,13.632,2.406,0.7127,14.104,2.418,0.7115,14.663,15.1,2.479,0.7016,104.65,43.69,1.326,PASS,0
LOT_011_DIE_00010,LOT_011,125.39,3.595,492.56,8.813,2.377,0.7347,9.113,2.385,0.7305,10.024,10.976,2.44,0.7267,99.26,42.94,1.224,PASS,0
LOT_012_DIE_00011,LOT_012,125.74,3.654,482.12,15.034,2.584,0.7094,15.553,2.599,0.707,16.741,17.13,2.665,0.702,103.85,46.23,1.257,PASS,0
LOT_013_DIE_00012,LOT_013,125.83,3.584,519.43,13.851,2.515,0.7181,14.421,2.54,0.7137,15.189,16.19,2.549,0.7084,97.0,39.69,1.208,PASS,0
LOT_014_DIE_00013,LOT_014,122.7,3.614,518.04,10.647,2.611,0.7236,11.178,2.63,0.7206,11.919,12.177,2.639,0.7149,95.49,44.73,1.246,PASS,0
LOT_015_DIE_00014,LOT_015,125.01,3.602,500.84,9.983,2.34,0.6947,10.562,2.365,0.691,10.971,11.427,2.415,0.6861,100.34,50.15,1.39,PASS,0
LOT_016_DIE_00015,LOT_016,123.78,3.589,529.75,10.404,2.435,0.7074,10.556,2.469,0.7035,11.283,11.881,2.442,0.7004,103.98,44.3,1.117,PASS,0
LOT_017_DIE_00016,LOT_017,122.52,3.596,499.1,10.894,2.555,0.6744,11.248,2.564,0.6714,12.171,12.615,2.615,0.6674,94.01,49.91,1.253,PASS,0
LOT_018_DIE_00017,LOT_018,125.62,3.648,495.98,42.662,3.614,0.6886,59.919,4.279,0.6458,93.074,152.06,5.373,0.5969,118.26,34.08,1.117,LATENT_CONTEXTUAL_OUTLIER,1
LOT_019_DIE_00018,LOT_019,124.07,3.623,527.6,11.319,2.511,0.6713,11.753,2.519,0.6705,12.455,12.528,2.605,0.6602,105.34,46.78,1.227,PASS,0
LOT_020_DIE_00019,LOT_020,124.99,3.534,506.54,9.936,2.469,0.705,10.291,2.491,0.7002,11.166,11.916,2.536,0.7005,95.93,49.62,1.271,PASS,0
LOT_021_DIE_00020,LOT_021,125.02,3.565,510.32,12.804,2.241,0.745,13.668,2.241,0.7434,14.478,14.822,2.296,0.7371,107.53,43.73,1.151,PASS,0
LOT_022_DIE_00021,LOT_022,125.7,3.62,523.47,9.722,2.434,0.6988,10.26,2.441,0.6961,11.289,11.785,2.5,0.6873,107.55,40.35,1.33,PASS,0
LOT_023_DIE_00022,LOT_023,124.1,3.602,495.14,8.228,2.22,0.6689,8.799,2.251,0.6642,9.429,10.55,2.29,0.6619,99.81,45.22,1.174,PASS,0
LOT_024_DIE_00023,LOT_024,127.71,3.563,516.15,10.753,2.114,0.7231,11.444,2.154,0.7194,12.6,13.069,2.15,0.7185,95.32,42.81,1.266,PASS,0
LOT_025_DIE_00024,LOT_025,126.45,3.627,482.82,11.043,2.451,0.7154,11.248,2.466,0.7128,12.429,12.81,2.486,0.7105,106.59,44.47,1.174,PASS,0
LOT_026_DIE_00025,LOT_026,124.92,3.632,505.49,13.417,2.433,0.725,13.857,2.457,0.7232,14.692,15.489,2.502,0.7183,91.85,45.27,1.34,PASS,0
LOT_027_DIE_00026,LOT_027,123.73,3.555,499.09,7.195,2.415,0.7432,7.72,2.429,0.7391,8.88,9.053,2.479,0.7347,99.91,44.25,1.193,PASS,0
LOT_028_DIE_00027,LOT_028,124.01,3.637,515.07,12.79,2.683,0.6518,13.095,2.697,0.6463,13.938,14.628,2.696,0.6435,100.31,40.77,1.178,PASS,0
LOT_029_DIE_00028,LOT_029,126.64,3.631,483.58,13.173,2.579,0.7054,13.338,2.61,0.7029,14.469,15.318,2.616,0.6955,100.19,41.66,1.24,PASS,0
LOT_030_DIE_00029,LOT_030,127.04,3.604,492.49,10.276,2.593,0.6689,10.453,2.61,0.6657,11.469,12.249,2.653,0.6583,87.11,43.6,1.275,PASS,0
LOT_031_DIE_00030,LOT_031,123.92,3.564,487.63,13.255,2.485,0.7663,13.91,2.508,0.7619,14.505,14.861,2.515,0.758,107.5,44.68,1.294,PASS,0
LOT_032_DIE_00031,LOT_032,124.94,3.555,491.86,7.21,2.543,0.7132,7.523,2.552,0.7123,8.29,8.643,2.557,0.7037,96.71,46.66,1.331,PASS,0
LOT_033_DIE_00032,LOT_033,125.83,3.651,492.84,9.702,2.506,0.7,9.953,2.533,0.6973,10.799,11.257,2.558,0.6945,103.08,44.51,1.173,PASS,0
LOT_034_DIE_00033,LOT_034,126.63,3.492,506.98,16.269,2.635,0.6536,16.85,2.655,0.6532,17.977,18.368,2.647,0.6453,103.65,44.45,1.33,PASS,0
LOT_035_DIE_00034,LOT_035,124.47,3.553,543.69,13.956,2.398,0.6758,14.392,2.412,0.6711,15.375,15.848,2.446,0.6663,98.75,42.62,1.228,PASS,0
LOT_036_DIE_00035,LOT_036,124.22,3.632,495.67,13.714,2.537,0.7134,14.146,2.557,0.7093,14.965,15.56,2.576,0.7063,92.5,46.58,1.446,PASS,0
LOT_037_DIE_00036,LOT_037,122.8,3.727,523.11,9.29,2.163,0.7106,9.71,2.166,0.7077,10.383,11.22,2.218,0.7045,100.18,49.66,1.316,PASS,0
LOT_038_DIE_00037,LOT_038,125.49,3.626,519.14,8.788,2.404,0.7111,9.047,2.415,0.7078,9.81,10.607,2.451,0.7032,101.72,43.04,1.201,PASS,0
LOT_039_DIE_00038,LOT_039,125.78,3.524,491.71,11.756,2.441,0.7232,12.163,2.458,0.7205,13.129,13.877,2.477,0.7163,109.23,43.53,1.403,PASS,0
LOT_040_DIE_00039,LOT_040,122.95,3.655,530.24,10.515,2.483,0.69,10.798,2.515,0.6875,11.897,12.833,2.545,0.6829,95.35,43.05,1.301,PASS,0
LOT_041_DIE_00040,LOT_041,125.6,3.669,543.65,6.788,2.437,0.6799,7.465,2.432,0.6764,8.191,8.975,2.517,0.6712,105.77,41.37,1.407,PASS,0
LOT_042_DIE_00041,LOT_042,124.86,3.553,480.7,13.376,2.682,0.7339,14.032,2.711,0.7312,14.773,14.859,2.73,0.7236,94.46,47.3,1.294,PASS,0
LOT_043_DIE_00042,LOT_043,125.42,3.605,516.91,12.381,3.253,0.731,27.288,3.667,0.713,47.613,87.631,4.247,0.6662,123.68,37.49,1.198,THERMAL_VOLTAGE_STRESS_FAILURE,1
LOT_044_DIE_00043,LOT_044,124.42,3.559,486.74,15.162,2.669,0.7582,15.484,2.68,0.7544,16.123,16.855,2.709,0.7497,90.68,42.75,1.125,PASS,0
LOT_045_DIE_00044,LOT_045,127.4,3.643,491.01,9.577,2.633,0.736,9.714,2.667,0.7317,10.408,11.267,2.692,0.7275,102.72,44.07,1.312,PASS,0
LOT_046_DIE_00045,LOT_046,121.58,3.554,484.67,13.074,2.487,0.7217,13.399,2.518,0.7194,13.789,14.048,2.495,0.7132,95.81,46.3,1.318,PASS,0
LOT_047_DIE_00046,LOT_047,126.47,3.615,508.68,11.422,2.536,0.7075,11.629,2.555,0.7045,12.881,13.433,2.6,0.6996,104.99,37.76,1.417,PASS,0
LOT_048_DIE_00047,LOT_048,124.83,3.562,506.55,11.95,2.402,0.7217,12.353,2.428,0.7197,13.164,14.208,2.472,0.7131,94.62,46.67,1.163,PASS,0
